,title,price
524,"SEATCOVER,BLK&RED FOR 62-2300 POLY SEAT",44.92
525,POLYETHYLENE SEAT-LOW BACK,64.17
526,POLY COVER LOW BACK SQUARE BLACK,36.58
527,Universal Seat Slider,38.23
528,Universal Seat Slider & Mounting Plate,51.58
529,Race Trim Bucket Seat Black Vinyl/Black Fabric,250.43
530,Low-Back Roadster Style Seat Black,199.17
531,3PC STAINLESS FIREWALL,66.58
532,"LUG BOLT,14MM W/17MM HEAD(5)",9.92
533,Long Lug Bolt 12mm (5),16.58
534,Classic Wood Steering Wheel380mm/31mm Grip 3-Bolt Hub,249.83
535,"FOAM STEERING WHEEL,CHROME",63.15
536,"STEERING WHEEL ADAPTER KIT, 60-74-1/2 BUG/GHIA",49.92
537,CV Torque Dist. Washer T-1 90mm Joint,1.47
538,CV Torque Dist. Washer T-2 100mm Joint,1.17
539,CV Torque Dist. Washer 930 108mm Joint,1.90
540,Drive Axle Assy Type 1 & Ghia IRS 68-79,99.92
541,"Drive Axle Thing, w/IRS 73-75 (16 1/8"")",116.58
542,68-74 Fuel Tank,149.92
543,"Gas Tank, 60-67",160.90
544,GAS TANK OUTLET PIPE KIT,8.05
545,"Euro-Made Stock Replacement Muffler Type 1, 1300-1600cc",109.92
546,"Euro-Made Stock Replacement Muffler Type 2, 1500-1600cc",109.92
547,DANSK LEFT HEATER BOX (HD),183.25
548,DANSK RIGHT HEATER BOX(HD),183.25
549,KYB 343144 GAS/GR-2 Shcoks,37.25
550,DIST.DRIVE PINION SPRING,0.77
551,Generator/Alternator Stand Gasket,0.33
552,Gen Stand Deflector Plate,0.75
553,Cam Plug Metal w/Groove,1.07
554,VW ENGINE CASE 043-101-003-3,1184.92
555,"EMPI HD S/S CASE,8MM,90/92mm",1241.67
556,"EMPI HD S/S CASE,8MM,94mm Bore",1241.67
557,Throttle Tube,1.92
558,Starter Bolt,2.12
559,BUMPER BRACKET FRONT LEFT 68-73,20.83
560,BUMPER BRACKET FRONT RIGHT 68-73,20.83
561,SHORT BUMPER BOLT 68-73,0.83
562,GROMMET OVER-RIDER 55-67 (4),3.25
563,Support Tube Front 55-67 (2),13.33
564,BUMPER BRACKET REAR LEFT 68-73,20.83
565,BUMPER BRACKET REAR RIGHT 68-73,20.83
566,Support Tube Rear 55-67 (2),13.08
567,Accelerator Repair Kit w/Pedal 67-79,16.58
568,WINDOW CRANK BLACK 68-74,3.25
569,OUTER SCRAPER LEFT 65-ON,61.25
570,OUTER SCRAPER RIGHT 65-ON,6.25
571,Molding Clip Metal to 66 (50),8.08
572,7-Piece Molding Kit,37.92
573,FIREWALL INSULL KIT 3PC(5MM),41.58
574,"HEAD LIGHT ASSY. TO 66,EA",43.17
575,CROSS SHAFT BUSH.KIT 61-72,9.87
576,"INTERIOR LIGHT 70-77,T-1,EA",8.33
577,TAIL LIGHT ASSY 68-70 LEFT,70.17
578,TAIL LIGHT ASSY 68-70 RIGHT,70.17
579,Front Disc  Brake Caliper Type 1,55.48
580,"FRONT DISC BRAKE ROTOR,T-1/3",59.92
581,Front Inner Wheel Bearing Type 1 & 3 69-on,6.92
582,Front Outer Wheel Bearing Type 1 & 3 69-on,5.65
583,"Front Wheel Seal Type 1 & 3, 66-79 w/Disc Brakes",1.75
584,Doghouse Oil Cooler,72.73
585,"LATE CASE, TY-3 BLOCK-OFF",3.25
586,"Oil filler Nut, T1",5.42
587,"Push Rod, Fuel Pump w/Gen, 108MM",2.50
588,"Push Rod, Fuel Pump w/Alt, 100mm",3.17
589,Fuel Pump Gasket,0.42
590,Fuel Pump Gasket,0.25
591,Fuel Pump Gen,38.23
592,"FLYWHEEL, 4-DOWEL STOCK 200MM",70.82
593,Lighten Eight – Dowel Flywheel,76.57
594,Flywheel Shim (.24mm),1.53
595,Flywheel Shim (.30mm),1.53
596,Flywheel Shim (.34mm),1.33
597,Flywheel Shim (.36mm),1.33
598,Flywheel Shim (.38mm),1.33
599,P30 PICT 1 Carb w/12v Choke,176.58
600,EMPI 34 PICT-3 CARB,176.58
601,ADAPTER KIT 31 TO 34 PICT,19.92
602,Air By-Pass Valve,20.00
603,Big Valve 85.5mm Complete Head 40mm Intake 35.5mm Exhaust,268.23
604,"GTV2 HEAD,V/JB,SINGLE SPRINGS 92MM",299.92
605,"DUAL PORT HEAD,COMPLETE",208.25
606,"(Discontinued) EMPI HEAD V/JB,SGL SPRINGS 92MM",316.58
607,"Big Valve Dual Port Head, 90/92.0mm, Double Springs Complete",306.57
608,"Big Valve Dual Port Head, 94.0mm, Single Springs Complete",287.40
609,"Big Valve Dual Port Head, 94.0mm, Dual Springs Complete",299.92
610,"Stage 3 - Wedge Port 44 x 37.5, 94mm, 68cc Chamber (Pr)",1049.92
611,"MAIN BEARING SET, STD/STD",43.25
612,"MAIN BEARING SET,STD/.25",38.92
613,"MAIN BEARING SET, .50/STD",38.92
614,"MAIN BEARING SET, 1.00/STD",38.92
615,"MAIN BEARING SET,1.5/STD/2.0",48.58
616,"CRANKSHAFT 69mm STROKE, DIRECT DRILLED",201.58
617,Crankshaft Timing Gear,29.92
618,Timing Gear Woodruff Key,2.58
619,Brass Distributor Drive Gear,24.92
620,Crankshaft Retaining Clip,1.73
621,DIST. DRIVE PINION,54.92
622,"WASHER,DISTRIBUTOR DRVE Shim,.60MM,EA",0.58
623,Crankshaft Oil Slinger,1.25
624,"CAM BEARING SET, 2X THRUST",28.25
625,"CAM BEARING SET, STD.",23.25
626,Crank Pulley Woodruff Key,2.88
627,"ROD BEARING SET, STD.",14.92
628,"MAIN BEARING SET,.50/STD/1.0",38.92
629,"MAIN BEARING SET,.50/STD/2.0",48.58
630,"MAIN BEARING SET,.50/.25/1.0",38.92
631,"MAIN BEARING SET,1.0/STD/1.0",38.92
632,"MAIN BEARING SET,1.0/STD/2.0",41.58
633,"MAIN BEARING SET,1.0/.25/1.0",38.33
634,"Piston & Cylinder Set  87mm X69mm Stroke,1641CC Cylinder Kit",194.92
635,90.5mm x 69mm Stroke Piston/Cylinder Kit,192.83
636,"Piston Cylinder SET 92mm X 82mm Stroke,2180CC",254.82
637,"Piston & Cyl. Set, 94mm x 69mm Stroke, 1915cc",260.58
638,"Piston & Cyl. Set, 94mm x 82mm Stroke, 2275cc",213.08
639,Type 4/914 Piston & Cylinder Set 93mm x 66mm Stroke 1800cc,298.83
640,Type 4/914 Piston & Cylinder Set  94mm x 71mm Stroke 2000cc,298.83
641,"ENGINE GASKET SET 2.0,EA",82.73
642,MAHLE CAST PISTON & CYL.SET 87MM X 69MM,236.58
643,94mm x 82mm Forged Piston Cylinder Set,586.00
644,Late Fan 71-on,21.58
645,"VENT WING SEAL 65-ON, LEFT,EA",15.58
646,"VENT WING SEAL 65-ON, RIGHT, EA",15.58
647,"FLOOR TAR BOARDS, 4 PC",66.58
648,"MIRROR, TP1 68-ON, LEFT",21.58
649,"MIRROR, TP1 68-ON, Right",21.58
650,"Mechanical Fuel Gauge TP1, 62-67",46.58
651,Fuel Gauge Sending Unit T1 68-on,34.90
652,"Type 1 Tail Light Assy, Left 62-67, Euro Style",73.75
653,"Type 1 Tail Light Assy, Right 62-67, Euro Style",73.75
654,Horn 12vdc,13.03
655,"KEYED ALIKE DOOR HANDLE 60-64,PR",58.25
656,"KEYED ALIKE DOOR HANDLE 68-ON,PR",58.25
657,Shift Rod Bushing,1.58
658,Brake Light Switch 3-prong,6.72
659,Brake Light Switch 2-prong,6.23
660,"INNER SCRAPER 65-68, LFT,EA",18.25
661,"INNER SCRAPER 65-68, RT,EA",18.25
662,"Left Inner Scraper, 4 clips, 69-on",18.25
663,"Right Inner Scraper, 4 clips, 69-on",18.25
664,KING PIN REBUILD KIT,34.40
665,LINK PIN REBUILD KIT,68.90
666,Nosecone to Chassis Boot - Nose Cone,12.47
667,"TRANS REBUILD GASKET SET,EA",12.42
668,Fuel Pump Alt,28.65
669,Fuel Pump Spacer,3.17
670,"VERTICLE FELT CHANNEL,65-ON,EA.",9.58
671,"GAS CAP, T-1, 68-71",2.88
672,Warm Air Hose 60/50mm,26.65
673,"Warm Air Hose 60/60mm, 68-72",26.65
674,NOSECONE TAILSHAFT GEARSHIFT HOUSING w/Gasket,41.58
675,"SHIFT LEVER,Hockey Stick, TRANSMISSION,EA",16.58
676,Front Wheel Thurst Washer Type 1 66-79,1.08
677,"TRW Steering Box T-1, 62-77",259.92
678,GRUB SCREW KIT (4),13.25
679,"MOUNT KT,SWAYBAR, 2 SIDES,EA",20.42
680,Steering Damper,38.23
681,"TIE ROD END, L-OUTER Type 1/3 thru 5/68 Type 2 55-67",6.25
682,"TIE ROD END, R-OUTER Type 1/3 thru 5/68",7.57
683,Left Outer Tie Rod End 68-77,6.25
684,Right Outer Tie Rod End 68-77,6.58
685,"TIE ROD END, R-INNER,Type 1 thru 65",10.55
686,"TIE ROD END, R-INNER, Type1 66-5/68",10.42
687,Right Inner Tie Rod End 68-77,10.42
688,"TIE ROD END, L-INNER Type 1 thru 5/68 Angled",7.57
689,Left Inner Tie Rod End 68-77,6.58
690,Upper BJ 66-on,11.98
691,Lower BJ 66-on,11.98
692,"FRONT WINDSHIELD W/GROVE 65-77,EA",18.25
693,RUBBER KIT 4PC W/GRV 65-71,58.25
694,RUBBER KIT 4PC W/GRV 72-77,58.25
695,"Front Wheel Seal, Type 1 , thru 65",1.25
696,"Front Wheel Seal Type 1, 69-on w/Drum Brakes",1.42
697,"Front Inner Wheel Bearing, Type 1 & 3 , thru 66-68",5.50
698,"Front Outer Wheel Bearing, Type 1, thru 65",7.50
699,"Front Inner Wheel Bearing, Type 1, thru 65",8.75
700,"Front Wheel Seal, Type 1, 66-6/68",1.58
701,"1/4 POPOUT Window Seal ,L&R,65-77,EA",8.17
702,RR BRAKE DRUM T-1 58-67,47.50
703,"Rear Brake Drum Double Drilled 5.130 & 5 x 4.75""",66.58
704,Rubber Stop Rear Axle Type 1 60-79,2.75
705,"Rear Axle Roller Bearing Outer Type 1 , 68-79",13.90
706,"Rear Axle Ball Bearing Inner Type 1 , 68-79",7.57
707,"Ball Bearing, S/A Rear Axle, Type 1 Thur '68",8.20
708,"Oil Seal Rear Axle Type 1, All",1.75
709,SINGLE BUGGY RESERVOIR W/METAL THREADS,6.23
710,"Master Cylinder Type 1, 65-67",22.90
711,REAR WHEEL CYLINDER Type 1 68-79,11.40
712,FRONT WHEEL CYLINDER Type 1 58-77,11.40
713,"BRAKE FLUID RES,W/CAP,EA",4.92
714,Rear Brake Tee Brass,8.63
715,"GROMMET,MASTER CYLINDER,EA",2.08
716,Brake Line Bracket,1.63
717,"FRONT BRAKE HOSE,355MM T1 W/DISC",11.78
718,"Brake Hose, Rear, F/F 270mm",9.67
719,Brake Shoe Hardware Kit,1.17
720,"E-BRAKE CABLE, T-1 65-67,EA",13.32
721,Brake Hardware Kit,12.47
722,"Steel Brake Line Kit, Type 1, 69-77",32.58
723,7mm Clutch Cable Wing Nut,1.73
724,Shift Rod Guide Bushing Rebuild Kit,11.92
725,"HEATER CABLE, REAR FOOTWELL, EA",4.83
726,"BOWDEN TUBE,ACCEL CABLE",13.62
727,"Accelerator Pedal Lever, Type 1",4.67
728,Clutch Cable Type 1 72-74,6.90
729,Bowden Tube,7.18
730,"Window Regulator, Left, Type 1 68-74, S.B. 71-74",33.25
731,"Window Regulator, Right, Type 1 68-74, S.B. 71-74",33.25
732,"MIRROR, T-1 CONVERT, LEFT",25.83
733,Type 2 Brake Line Grommet,0.92
734,"Engine Case Hardware Kit, Type 1 All",25.75
735,"Replaced by 98-8741-B Gas Tank Hold Down Bracket, Type 1",1.25
736,"Wiper Switch Knob w/plug, T-1",6.25
737,Oil Relief Valve Plug Metal Gasket,0.50
738,"Gas Tank Hold Down Bracket, Type 1",1.75
739,"RUBBER PAD,BODY MOUNT,17MM,EA",1.58
740,"RUBBR PAD,BODY MOUNT,10MM,EA",1.75
741,"RUBBER PAD,BODY MOUNT,UPPER,EA",1.50
742,"IGNITION SWITCH,T-1,72-74",8.67
743,12V. VOLTAGE REGULATOR,41.58
744,Oil Pressure Switch,2.78
745,"Engine Gasket Set, Late Type 2 / Type 4, 1700/1800cc (Elring)",66.58
746,"GASKET FOR H/L LENS,GREY,EA",2.08
747,"GASKET,HEADLIGHT ASSEMBLY,EA",2.08
748,"Head Light Switch, Headlight Switch",28.25
749,"SWITCH,HEADLIGHT DIMMER,EA",9.92
750,"HEADLIGHT RELAY ,12 VOLT",18.00
751,"Tail Light ASSEM, LEFT, T1 73-79",48.25
752,"Tail Light ASSEM, RIGHT, T1 73-79",48.25
753,"TURN SIGNAL LENS, T1 64-66,AMBER",5.42
754,"Turn Signal Assy Left & Right 58-63, Amber",23.25
755,Left Front Turn Signal 70-79,26.58
756,Right Front Turn Signal 70-79,26.58
757,"TURN SIGNAL SWITCH,T1 1971",36.58
758,"WIPER BLADE,BLK,T-1,68-77,EA",10.45
759,"WIPER ARM,LEFT,T-1,73-77,EA",9.92
760,"WIPER ARM,RGHT,T-1,73-77,EA",9.92
761,"WIPER ARM,LEFT,T1 68-69",10.75
762,"WIPER ARM,LEFT,T1 70-72,EA",9.92
763,"WIPER ARM,L/R,T1 58-64,EA",12.37
764,"WIPER ARM,L/R,T1 65-67",11.58
765,"WIPER ARM,RIGHT,T1 70-72,EA",10.75
766,"WIPER ARM,RIGHT,SB 73-79,EA",10.75
767,"WIPER ARM,RIGHT,T1 68-69,EA",9.92
768,"WIPER BLADE,BLK,T1,58-64,EA",8.25
769,"WIPER BLADE, 16"",Type 2 68-79, EA",11.08
770,"WIPER BLADE,SIL,T1,58-64,EA",10.52
771,Turn Signal Switch Type 1 62-67,80.40
772,"PROTECTIVE COVER,WIPER SHAFT,EA",1.33
773,"WIPER BLADE,10.75"",BUS TO 67",9.92
774,"WIPER BLADE,SIL,T1,65-67,EA",10.55
775,"WIPER BLADE,10.75"" BUS TO 67",9.17
776,Speedometer Cable,8.25
777,"NGK B6HS SPARK PLUG,EA",4.17
778,"Transmission Mount Front Typ 1, 73 & Later",18.42
779,Headlight Switch Type 2,36.32
780,STOCK UNIVERSAL SHIFT BOOT,3.75
781,"AIR DEFLECTOR TIN,10MM,EA",1.75
782,"AIR DEFLECTOR TIN,8MM,EA",1.75
783,IRS SUPER DIFF W/O SPIDER GEARS,231.67
784,RACING SUPER DIFF. S/A W/O GEARS,194.92
785,Chrome Tubular Rear Bumper,66.58
786,"Dune Buggy Windshield Frame 16"" Glass 42 1/4"" - 42 1/2""",383.25
787,Sand Rail Windshield Rubber,29.92
788,Trans. Mount Adapter Early Trans to Late Chassis 2-Bolt Nose Cone,65.00
789,Trans. Mount Adapter Early Trans to Late Chassis 3-Bolt Nose Cone,65.00
790,Oil Piston Puller,48.98
791,Starter Bushing Tool,71.58
792,"Fuel Sender 10 ohm Empty, 180 ohm Full",59.92
793,Fuel Gauge 73-10 ohms,42.08
794,Fuel Gauge 10-180 ohms Royale Series,42.92
795,Voltage Gauge,40.67
796,Voltage Gauge 8-16 VDC Royale Series,54.65
797,"TACH,3 3/8"",7K",124.75
798,Tachometer Royale Series,121.75
799,Oil Pressure Gauge 0-80 PSI,42.17
800,Oil Pressure Gauge Royale Series,52.12
801,Oil Pressure Sending Unit 80 PSI 10mm,75.75
802,Electric Speedometer 3 1/8,188.42
803,"COCKPIT SPEEDOMETER, 3 3/8""",188.42
804,Speedometer 120mph Royale Series,199.75
805,"Dash Bulb 9/32"" 12V/2W 4 pcs",16.58
806,"Bulb 11/32"" 12v/2w 4pcs",18.25
807,"Bulb, Peanut Style, 4 pcs",14.75
808,Socket for V600804,16.25
809,"Insulated Bulb Socket, Peanut Style, Each",3.00
810,Megajolt/E Programmable Ignition Control,144.95
811,Programmable Distributorless Ignition System for VW Aircooled,339.99
812,RaceCapture/Pro,399.00
813,"Fire Red .004"" Metal Flake",13.99
814,"Apple Green .004"" Metal Flake",13.99
815,"Apple Red .004"" Metal Flake",13.99
816,"Aqua-to-Blue-to-Purple .004"" Color Change Metal Flake",19.99
817,"Bright White .004"" Metal Flake",13.99
818,"Dark Blue .004"" Holographic Metal Flake",19.99
819,"Emerald Green .004"" Metal Flake",13.99
820,"Gold .008"" Metal Flake",13.99
821,"Gold Holographic .004"" Metal Flake",19.99
822,"Green Holographic .004"" Metal Flake",13.99
823,"Inca Gold .004"" Metal Flake",13.99
824,"Jet Black .004"" Metal Flake",13.99
825,"Light Pink .004"" Metal Flake",13.99
826,"Lime Green .004"" Metal Flake",13.99
827,"Limetreuse .004"" Metal Flake",13.99
828,"Midnight Blue .004"" Metal Flake",13.99
829,Moss Green .004 Micro Flake,13.99
830,"Orange-Copper .004"" Metal Flake",13.99
831,"Peacock .004"" Metal Flake",13.99
832,"Pink .004"" Holographic Metal Flake",19.99
833,"Purple .004"" Holographic Metal Flake",19.99
834,"Purple .004"" Metal Flake",13.99
835,"Rose Red .004"" Metal Flake",13.99
836,"Silver .004"" Metal Flake",13.99
837,"Silver Holographic .004"" Metal Flake",19.99
838,Nostalgia Dune Buggy Body - Standard Colors,1865.95
839,Nostalgia Dune Buggy Body - Metal Flake Colors,2620.95
840,Nostalgia/Lancer Dune Buggy Chassis,2350.00
841,Roadster-T Dune Buggy Chassis,2350.00
842,Genesis 4-Seater Dune Buggy Chassis,2900.00
843,Lancer Dune Buggy Body,2065.95
844,Roadster-T Dune Buggy Body,3109.95
845,Genesis 4-Seater Dune Buggy Body - Standard Colors,3050.00
846,Genesis 4-Seater Dune Buggy Body - Metal Flake,3500.95
847,Side Pods 2-Seater Dune Buggy Body- Standard Colors,460.00
848,Genesis 4-Seater Standard Color Side Pods,561.58
849,Genesis 4-Seater Metal Flake Side Pods,820.00
850,Warrior 2-Seater Sand Rail Knockdown Kit,700.00
851,Cruiser 4 - Seater Sandrail Knockdown Kit,1000.00
852,Desperado,864.95
853,Maverick - Standard Colors,748.99
854,Maverick Trike - Metal Flake Colors,1217.99
855,Single Show Bar/Show Bar Frame Mount - Raw Steel,160.00
856,Show Bar/Show Cage 4pt Knock Down Kit,470.00
857,"Canadian Blue .004"" Metal Flake - 4 oz jar",13.99
858,"Strato-Blue .004"" Metal Flake - 4 oz jar",13.99
859,Classic 290 Sand Rail,0.00
860,Side Pods 2-Seater Dune Buggy Body- Metal Flake Colors,670.00
861,Pro Comp Single Bar Roll Bar Cover Kit,99.98
862,O Ring Flywheel Seal,0.83
863,Serpentine Belt Pulley System,250.00
864,Classic 295 Sand Rail,0.00
865,Classic 2100 Sand Rail,0.00
866,Sandfox Sand Rail,0.00
867,Stalker Sand Rail,0.00
868,Venture Sand Rail,0.00
869,Classic 4105 Sand Rail,0.00
870,Encore Sand Rail,0.00
871,Sandfox 4X Sand Rail,0.00
872,Stalker 2+2 Sand Rail,0.00
873,Shroud Screw,0.25
874,"Shim Kit Gen/Alt Pulley, Each",1.83
875,Silicone Push Rod Tube Seal (16),8.00
876,Gasket between Cover & Oil Pump,0.58
877,Oil Cooler Seal 8/10mm,0.52
878,"Engine Gasket Set, Complete",8.32
879,"Light Flywheel, 200mm 8-Dowel",47.50
880,Push Rod Tube 1300-1600,1.98
881,Standard 009 Distributor,36.58
882,Chrome 009 Distributor,46.58
883,"Grease Cap, left, front wheel",2.48
884,"Grease Cap, right, front wheel",2.42
885,"ROLLER BEARING, Outer Rear Wheel,",9.58
886,"BALL BEARING, Inner Rear Wheel",5.92
887,"REAR AXLE SEAL, Type I & III 67-79",2.58
888,"BRAKE HOSE, Front, 350mm, (M/F), T",5.83
889,"CLIP, BRAKE HOSE BRACKET, All Type",1.42
890,"BRAKE HOSE, Rear, 210mm (M/F), All",5.92
891,"BRAKE HYDRAULIC LINE KIT, 8-pcs, Beetle 68-77",28.25
892,ACCELERATOR PEDAL REPAIR KIT,10.42
893,"NUT, Front Axle, Right, Type I & II",8.02
894,"Floor Pan, Left, Beetle 71-72, SB 71-72",108.25
895,"Floor Pan Right, Beetle 71-72, SB 71-72",111.58
896,Complete Dune Buggy Fuel Tank Kit,250.67
897,Dune Buggy Fuel Tank Kit Replacement Hose,41.17
898,Manx Style Mirror Mounting Bracket,16.38
899,3-Hole Steering Wheel Adapter Chevy Column,38.96
900,Chrome Horn Button,14.33
901,Bolt On Battery Box IRS,45.00
902,"6"" Oval Surface Mount Tail Light 10 LED w/ Chrome Trim Rings (Pr)",39.92
903,$9.99-Shipping,9.99
904,"NUT, Front Axle, Left, Type I & II",7.98
905,"69mm Volksaver, 8 Dowel Crankshaft",309.17
906,Berrien Nostalgia/Genesis Master Cylinder Installation Bolt Kit,3.50
907,Nostalgia Body Mounting Kit,37.33
908,Steering Damper Stabilizer Bolt Kit (1) M10 Bolt (1) M10 Flat Washer,1.95
909,Steering Box Clamp Bolt Kit,4.75
910,Spring Plate Cap Bolt Kit Stainless Steel (4) M10,10.77
911,Spring Plate/Rear Axle Bearing Cap Bolt Kit (4) M10,4.67
912,Steering Box Drop Arm/Pitman Arm Bolt (1) 12mm (1) 12mm Lock Washer,2.85
913,"Engine Case Bolt Kit (3) 8mm Bolt, (3) 8mm Lockwasher, (3) 8mm Nut",5.40
914,"4"" GPS Speedometer/Tachometer  w/Turn Signal & High Beam Indicators - 160mph GPS Speedometer / 8K Tachometer",462.00
915,"Spring Plate to Trailing Arm (6) Bolt, (6) Nut, (6) Lock Washer",18.60
916,Speedometer Cable Retaining Clip,1.99
917,Chrome Tear Drop Dune Buggy Mirror (pr),32.25
918,Rectangle Dune Buggy Mirrors,17.40
919,"4"" GPS Speedometer/Tachometer/Oil Press/Oil Temp/Fuel/Volts Quad Gauge Package  w/Turn Signal & High Beam Indicators",840.00
920,Triangle Oil Breather Filter - Red,16.15
921,Triangle Oil Breather Filter - Blue,16.15
922,Triangle Oil Breather Filter - Black,18.73
923,"Premium Fuel Line Hose, 5/16""",2.10
924,Hidden Antenna,18.32
925,Straight Fitting 1/8 NPT Male To 10mm-1.0 Female Metric Bubble Flare,11.17
926,"Alum. Fuel Line 25 ft x 5/16""",41.65
927,"Size 4 Hose Clamps 1/4"" -  5/8 """,1.50
928,"2"" NYLON 4PT SEAT BELT & SHOULDER HARNESS - RED",34.92
929,2-Point Lap Seat Belts - Red,31.58
930,"Street Rod Chrome 32"" Tilt Steering Column W/O Ignition Floor Shift",371.26
931,"Oil Pump Bolt - Metric socket button head, Class 12.9 steel black oxide finish, 8mm",0.70
932,NGK Spark Plug Terminal,0.95
933,Flip Top Fuel Filler Installation Kit,11.65
934,20 Piece Lug Nut Chrome Closed End Acorn 7/16-20,24.15
935,Ford 4-Cylinder / 8-Cylinder Dual Coil Pack,45.84
936,Ford 4-Cylinder Coil Pack Pigtail,47.49
937,"Seat Belt Nut 7/16"" x 20",0.60
938,Nostalgia Steering Column Support with U-Clamp,45.00
939,Engine Mounting Bolt Kit (1) M10 Bolt (3) M10 Nut,2.85
940,"M12mm Rear Shock Bolt Kit - Bolt, Washer & Nut",4.33
941,"CDB 4"" Quad Gauge - Oil Pressure, Oil Temp, Volts, Fuel Level",378.00
942,"Forged Steel Chrome Universal Single Steering U-Joint  1"" DD x 5/8"" VW",64.26
943,Ford EDIS-4 Ignition Module,196.67
944,"2"" NYLON 4PT SEAT BELT & SHOULDER HARNESS - BLUE",33.80
945,Rear Seat Belt Bar,35.00
946,Mini Top Black,312.50
947,Mini Top Toast,312.50
948,Front Chrome Bumper 68-73,111.58
949,Rear Chome Bumper 68-73,116.58
950,"GAS TANK, Type I 68-74, (Ex Super Beetle)",126.58
951,"GAS TANK, Type I 62-67",126.58
952,87mm Big Bore Piston/Cylinder Kit,175.90
953,"CONNECTING ROD, NEW 13-1600cc, Beetle",25.42
954,E-Brake Cable Beetle 50-79,6.98
955,Clutch Cable Beetle 72-73 & 74,6.58
956,Clutch Cable Beetle 75-79,5.83
957,Accelerator Cable 57-65,3.75
958,Accelerator Cable 66-71,2.08
959,Accelerator Cable 72-74,3.75
960,Accelerator Cable 75-79,5.70
961,"E-Brake Cable All Type 1 & SB, Beetle 73-79 Ghia 73-74",11.58
962,"BRAKE HYDRAULIC LINE KIT, 7-pcs, B",16.42
963,OE Brand Master Cylinder,23.25
964,"BRAKE HOSE, Front, 445mm, (M/F), Beetle 50-64, Ghia 56-64, Transporter 68-70",6.21
965,009 Distributor w/Electronic Ignition,64.92
966,"Engine Gasket Set, Complete, German",14.92
967,"ENGINE CASE, New, 3-pt Universal,",965.00
968,"H.D. Floor Pan Right, Beetle  50-70",141.58
969,"H.D. Floor Pan Left, Beetle  50-70",141.58
970,Front Axle Beam L/P Drum Brake Adjustable,261.58
971,009 Distributor w/Vacuum Advance,59.28
972,"Frame Head, Bottom, 66-77",62.25
973,"Front Axle Beam 67-79 w/Spindles BJ, Disc Brakes",303.25
974,Windshield Seal 73-80 SB No-Groove,21.92
975,Left Ghia Floor Pan,199.92
976,Right  Ghia Floor Pan,199.92
977,"Stock Flywheel, 200mm 4-Dowel",44.92
978,Front Axle Beam L/P Drum Brake,249.92
979,"Floor Pan Left, Beetle, 50-70",99.92
980,"Floor Pan, Left, Beetle 73-79, SB 73-79",128.25
981,"Floor Pan, Right, Beetle 73-79, SB 73-79",128.25
982,"Floor Pan Right, Beetle 50-70",99.92
983,"Flat, Type 1 57-64 Windshield",44.92
984,"WINDSHIELD GLASS, Curved, Super Beetle 73-80",79.58
985,"Front Axle Beam 67-79 w/Spindles BJ, Drum Brakes",303.25
986,"Front Axle Beam 67-69 w/Spindles BJ, Drum, Adjustable",414.92
987,E-Brake Cable Beetle 68-72,12.08
988,Type 1 65-77 Windshield,54.92
989,"Cam Plug, Rubber, No Groove Case",2.67
990,"Tow Bar fits Dune Buggy, VW & Berrien Chassis",195.00
991,Blue Holographic Metal Flake,19.99
992,"BILLET BREATHER CAP,POLISHED",14.92
993,DOUBLE BAR FRONT BUMPER for Cruiser Sand Rail,100.00
994,TRIPLE BEND TREE BARS for Cruiser Sand Rail,100.00
995,VELOCITY STACK HPMX/IDF 2-1/4,17.50
996,"FUEL TANK SENDER, SB-ALL",55.48
997,GT Grant Chrome Horn Button,14.19
998,"Billet 3/8"" Wheel Spacers | 5x4.75 Chevy (pr)",50.00
999,"Billet 1/4"" Wheel Spacers | 5x4.75 Chevy (pr)",46.67
1000,"FRONT WHEEL BEARING INNER, BUS",5.92
1001,"FRONT WHEEL BEARING OUTER, BUS",4.00
1002,"SB DISC BRAKE KIT, ALL YEARS",241.67
1003,Labor 15,15.00
1004,Labor 20,20.00
1005,Labor 25,25.00
1006,Labor 35,35.00
1007,Labor 45,45.00
1008,PISTON PIN BUTTONS 92MM (8),22.90
1009,"1-HOLE GAUGE PANEL, CHROME",6.33
1010,"3-HOLE GAUGE PANEL, CHROME",8.25
1011,3-HOLE GAUGE PANEL BLACK,7.08
1012,1-HOLE GAUGE PANEL BLACK,6.58
1013,TYPE 2 FRONT GREASE SEAL,3.25
1014,PISTON PIN BUTTONS 94MM (8),22.90
1015,Genesis Body Mounting Kit,46.67
1016,Windshield Wiper Switch,37.00
1017,3-PC STAINLESS LOUVERED FIREWALL,68.25
1018,"DOOR HANDLE SEALS,60-65,SET",2.17
1019,"DOOR HANDLE,SEAL,68-79, SET",1.75
1020,Fuel Tank Sender Gasket,1.73
1021,NUT FOR VALVE ADJUSTMENT SCREW,0.50
1022,Ball Foot Swivel Valve Adjusters,30.57
1023,"DECKLID HANDLE SEAL,T-1,65-71",1.33
1024,"DECKLID HANDLE SEAL,T-1,72-79",1.50
1025,"CDB 4-1/2"" Old Style VW, Dual Gauge - 120mph GPS Speedometer / 8K Tachometer (w/ turn signal and high beam)",384.13
1026,"CDB 2-1/16"" Old Style VW, Oil Temp Gauge 100-250F (90° Sweep)",93.13
1027,"VW Speedometer mount adapter for 4.5"" Old Style VW Speedo/Tach gauge",14.84
